image	C:/Users/avirm/Documents/Research/Image 1/BB (4) (1).tif
intensity-scaling	0
gaussian-std	0.8
ridge-threshold	0.014
maximum-foreground	65535
minimum-foreground	100
init-z	true
snake-point-spacing	1
minimum-snake-length	15
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	4
stretch-factor	1.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#0
0           0     176.912     104.847           0     29141.4     19981.4
0           1     177.862     105.163           0     28030.2     20413.3
0           2     178.823     105.444           0     28254.3     20839.8
0           3     179.756     105.805           0     29509.6     20917.3
0           4      180.65     106.257           0     30013.7       20830
0           5     181.525     106.742           0     31429.7     19961.4
0           6     182.408     107.214           0     32792.3     19264.8
0           7     183.321     107.624           0     33944.4     18862.1
0           8     184.263     107.963           0     37796.7     18467.4
0           9     185.219      108.26           0     39044.6     18683.1
0          10      186.18      108.54           0     40801.6     18455.1
0          11     187.133     108.847           0     41785.2     18850.4
0          12     188.074      109.19           0     41494.3     18786.2
0          13     189.015      109.53           0     40179.4     18345.3
0          14     189.944     109.905           0     41256.4     18177.7
0          15     190.858     110.313           0     38466.8     18320.1
0          16     191.781     110.701           0     37772.3     18395.6
0          17     192.711     111.072           0     39433.9     18497.8
0          18     193.645     111.431           0     37916.2     18810.3
0          19     194.574     111.804           0       38081     18762.1
0          20     195.489      112.21           0     36955.2     19058.3
0          21     196.398      112.63           0     36340.8     19378.8
0          22     197.296     113.073           0     36526.5     20101.1
0          23     198.182     113.539           0     37880.2       20419
0          24     199.057     114.025           0     42157.8     21438.3
0          25     199.939     114.498           0     39045.6     21572.2
0          26     200.835     114.945           0       39094     20960.8
0          27     201.741      115.37           0     41387.4     20878.1
0          28     202.661     115.766           0     40837.6     20270.3
0          29     203.579     116.166           0     40130.2     19007.3
0          30      204.49      116.58           0     38406.5     18446.2
0          31     205.379     117.041           0     40019.6     18565.2
0          32     206.249     117.536           0     38546.6     18462.9
0          33     207.126     118.019           0     37191.1     19155.2
0          34      208.03     118.448           0     35331.4     20154.3
0          35     208.952     118.837           0     35173.9     21170.6
0          36      209.86     119.259           0     34335.4     22537.5
0          37     210.744      119.73           0     32755.7     23389.3
0          38     211.614     120.225           0     33921.8     23160.2
0          39     212.508     120.674           0     35379.3     21199.3
0          40     213.435     121.053           0     37261.9     20550.9
0          41     214.356     121.444           0     34195.1     22208.4
0          42      215.23      121.93           0     30346.8       23388
0          43     216.079     122.461           0     29890.4     22086.5
0          44     216.971     122.906           0       27119     20759.1
0          45     217.948     123.093           0     27474.5     20959.2
0          46     218.938     122.966           0     27538.8     23359.2
0          47     219.889     122.655           0     28616.6     24505.3
0          48     220.809     122.261           0     28554.9     23975.3
0          49     221.699     121.802           0     26464.3       23034
0          50     222.565       121.3           0     25720.9     22576.4
0          51     223.412     120.766           0     25531.6     21752.8
0          52     224.246     120.213           0     25766.2     21742.5
0          53     225.058     119.627           0     27394.7     22329.8
