image	C:/Users/avirm/Documents/Research/Image 19/AB (5).tif
intensity-scaling	0
gaussian-std	1.2
ridge-threshold	0.0036
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	12
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.006
beta	0.26
gamma	2
external-factor	2.4
stretch-factor	0.12
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0     204.959     203.214           0     39238.8     30032.5
0           1      205.73     202.574           0     38233.2     29546.3
0           2     206.446     201.873           0       31333     33873.4
0           3     207.092     201.107           0     23880.6     31299.1
0           4     207.709     200.317           0     22877.5     26221.6
0           5     208.362     199.556           0     22290.6     22598.4
0           6     209.106     198.885           0     21494.6     21254.1
0           7      209.96      198.36           0     22082.4     20841.5
0           8     210.896     198.002           0     21296.8     20911.3
0           9     211.877     197.796           0     22135.1     20860.5
0          10     212.874     197.696           0     21147.5     20539.7
0          11     213.876      197.66           0       21800     19971.4
0          12     214.879     197.666           0     20392.2     19426.7
0          13      215.88      197.71           0     21339.7     18995.1
0          14     216.878     197.801           0     22579.7     18786.3
0          15      217.87     197.947           0     22506.7     18752.3
0          16     218.852     198.149           0     23109.4     18792.4
0          17     219.823     198.396           0     23177.9     18698.3
0          18     220.787     198.673           0     24888.8     18498.6
0          19     221.747     198.962           0       24233     18213.7
0          20     222.709     199.244           0     24261.3     18994.8
0          21     223.677     199.503           0     25695.5     18884.8
0          22     224.652     199.735           0     27763.4     19245.6
0          23     225.633     199.942           0     29383.9     19152.8
0          24     226.618     200.129           0     30090.6       19200
0          25     227.606     200.296           0     31437.9     19328.3
0          26     228.597      200.45           0     31922.7     19181.1
0          27     229.588       200.6           0     31287.2     19511.5
0          28     230.577     200.761           0     30714.5     20026.7
0          29     231.563     200.942           0     31222.6     20761.2
0          30     232.546      201.14           0     30626.9     21092.9
0          31     233.528     201.341           0     31391.5     21765.1
0          32     234.511     201.538           0     31728.4     22025.2
0          33     235.496     201.725           0     31077.1     22650.3
0          34     236.484      201.89           0     30821.7     23424.4
0          35      237.48     202.008           0     29798.4     23728.4
0          36     238.482      202.04           0     28578.4     24239.8
0          37      239.48     201.949           0     27679.6     24466.6
0          38     240.456     201.719           0     28108.3     24911.6
0          39     241.397     201.374           0       29538     25012.3
0          40     242.314     200.969           0     31125.4       24893
0          41     243.232     200.567           0     30381.2       23829
0          42     244.165     200.201           0     30532.4     22714.3
0          43     245.116     199.884           0     28764.6     21768.8
0          44     246.081     199.612           0     26224.9     21191.5
0          45     247.053     199.367           0     26244.3     20856.2
0          46     248.029     199.137           0     26367.9     20791.4
0          47     249.008     198.923           0     26475.4     20956.2
0          48     249.992      198.73           0     25926.3     20545.7
0          49     250.979     198.556           0       25569     20638.2
0          50     251.967     198.388           0     25845.1     20600.3
0          51     252.955     198.217           0     26928.2     20594.4
