image	C:/Users/avirm/Documents/Research/Image 3/BB (26).tif
intensity-scaling	0
gaussian-std	1.6
ridge-threshold	0.015
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	2
minimum-snake-length	12
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.25
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0      80.553     320.111           0     17227.1     8899.84
0           1     82.5574     320.037           0     34711.9     17588.4
0           2     84.5599     319.924           0     38806.1     17792.3
0           3     86.5546     319.714           0     39807.2     18595.8
0           4     88.5326     319.382           0     38765.4     19085.5
0           5     90.4899     318.944           0     34473.8     18506.9
0           6     92.4302     318.436           0       33625     18427.8
0           7     94.3581     317.882           0     33246.8     17717.6
0           8     96.2746     317.291           0     32920.7     18151.8
0           9      98.184     316.677           0       30129     18047.8
0          10     100.085     316.038           0     29119.7     18391.4
0          11     101.974     315.364           0     28552.4     18220.6
0          12     103.848     314.648           0     27610.6     18577.8
0          13     105.706     313.891           0     25957.5     18630.5
0          14     107.552     313.107           0     26173.2     18428.3
0          15     109.397      312.32           0     28123.1     19279.3
0          16     111.252     311.559           0     32076.1     19527.3
0          17     113.126     310.844           0     34867.8     20298.5
0          18     115.014     310.168           0     34977.6     20819.4
0          19     116.905     309.498           0     33805.9     20883.4
0          20     118.785     308.799           0     31022.6     20327.4
0          21      120.65     308.061           0     30817.7     19461.4
0          22     122.501     307.288           0     31434.9     18113.6
0          23     124.341     306.489           0     31530.2     17379.5
0          24     126.172      305.67           0     32909.2       17910
0          25     127.989     304.822           0     33469.5     17821.5
0          26     129.787     303.933           0     31883.8     18015.7
0          27     131.562     302.998           0     32735.3     17425.9
0          28     133.317     302.028           0     31734.8     17753.6
0          29     135.056     301.029           0       35239       17344
0          30     136.782     300.006           0       33197     17822.4
0          31     138.494     298.962           0     30775.4     17577.9
0          32       140.2     297.907           0     28391.4     18553.8
0          33     141.905      296.85           0     27144.8     19294.5
0          34      143.61     295.794           0     26886.6     19294.9
0          35     145.311     294.731           0     27769.3     19624.5
0          36     147.001     293.651           0     28546.6     19289.6
0          37      148.68     292.553           0     27555.1     19446.5
0          38     150.354     291.449           0     29220.6     16989.1
0          39     152.041     290.364           0     30431.3     17512.8
0          40     153.759     289.329           0     28732.1       15019
0          41     155.525     288.378           0     28945.2     13827.2
0          42     157.344     287.533           0     28256.1     13579.7
0          43     159.209     286.795           0     27365.7     12007.4
0          44     161.105      286.14           0     31269.7     14619.8
0          45     163.018     285.538           0     31295.6     13497.5
0          46     164.938     284.957           0     26752.7     12480.1
0          47     166.857     284.374           0     25333.3     11736.5
0          48     168.766      283.76           0     26654.6     12725.2
0          49      170.66       283.1           0     27023.6     12708.9
0          50      172.54     282.401           0     29599.3     13263.3
0          51     174.427     281.721           0     32568.6     13480.2
0          52     176.355     281.168           0     42534.7     13492.9
0          53     178.336     280.854           0     56651.2     13926.1
0          54     180.341      280.83           0       65362       14358
0          55     182.336     281.043           0     65138.2     18637.8
0          56     184.309     281.399           0       65362     21672.3
0          57     186.269     281.829           0       65362     25770.2
0          58     188.223     282.282           0       65362     28569.6
0          59     190.181     282.713           0       65362     29396.7
0          60      192.15     283.097           0       65362     29185.9
0          61     194.128     283.426           0       65362     29937.6
0          62     196.113     283.718           0       65362       29752
0          63     198.096     284.016           0       65362     29860.5
0          64     200.073     284.354           0     65285.6     30073.2
0          65     202.044      284.73           0     64362.1     28775.2
0          66     204.012     285.114           0       62393     28167.5
0          67     205.986     285.468           0     59441.4     28682.1
0          68      207.97     285.763           0     57083.8     28651.8
0          69     209.963     285.988           0     51336.9       28970
0          70     211.962      286.16           0     51617.7     29208.9
0          71     213.962     286.311           0     53115.9     29459.3
0          72     215.963     286.453           0     50367.5     30642.4
0          73     217.964     286.584           0     49513.3       31427
0          74     219.965     286.721           0     49464.3     33903.3
0          75     221.964     286.882           0     56814.2     35539.6
0          76     223.961     287.074           0     61306.5     35115.6
0          77     225.956      287.28           0     61982.4     34289.2
0          78     227.953     287.465           0     61302.3     33259.5
0          79     229.954     287.603           0     65214.7       31945
0          80     231.958     287.698           0       65362     32531.4
0          81     233.962     287.782           0       65362     32163.8
0          82     235.965     287.879           0       65362     32292.5
0          83     237.967     287.993           0       65362     31998.9
0          84     239.969     288.119           0     65361.8     30653.9
0          85      241.97     288.258           0     64591.9     28596.5
0          86     243.971     288.401           0     65295.5     29512.1
0          87     245.972     288.528           0       65362     31679.2
0          88     247.976     288.625           0       65362     32146.1
0          89      249.98     288.692           0       65362     30812.5
0          90     251.985     288.747           0       65362     29575.9
0          91      253.99     288.817           0       65362     30688.9
0          92     255.993     288.923           0     63087.9     33166.6
0          93     257.991     289.097           0     62937.1     33980.6
0          94     259.979     289.365           0     61318.8     33332.8
0          95      261.95     289.733           0     63256.1     37318.7
0          96     263.903     290.192           0     60417.8       36592
0          97      265.84     290.713           0     63868.1     33644.7
0          98     267.768     291.266           0     62419.1     33500.6
0          99     269.693     291.829           0     60137.2     31509.4
0         100     271.624     292.372           0     59403.4     28771.4
0         101     273.571     292.854           0     63533.8     28374.3
0         102     275.536     293.252           0     62356.9       27792
0         103     277.518     293.564           0     60122.1     28601.7
0         104     279.506     293.825           0     64840.9     28489.3
0         105     281.495     294.089           0     64374.5     29062.1
0         106     283.479     294.384           0     64636.8     30033.9
0         107     285.457     294.714           0       65362     30309.3
0         108     287.431     295.071           0     64741.1     30442.2
0         109     289.403     295.433           0       65291       30000
0         110     291.378     295.787           0       65362     30432.4
0         111     293.353     296.133           0       65362       31836
0         112     295.331     296.466           0       65362     36230.6
0         113     297.314     296.767           0     64714.4     37366.9
0         114     299.306     297.005           0     65357.1     36441.4
0         115     301.305     297.161           0       65362     38334.9
0         116      303.31     297.219           0       65362     45115.1
0         117     305.315     297.156           0       65362     44924.6
0         118     307.315         297           0       65362     43587.2
0         119     309.313     296.828           0       65327     48828.2
0         120     311.314     296.683           0     64582.9     48885.8
0         121     313.316     296.566           0     64606.3     42892.7
0         122     315.319     296.454           0     62111.5     43966.7
0         123      317.32      296.32           0     59037.6     46187.6
0         124     319.317     296.135           0     59648.3     45356.1
0         125     321.308     295.892           0       65362     41411.4
0         126     323.292       295.6           0       65362     39334.1
0         127     325.272     295.276           0       65362     38352.8
0         128     327.249     294.939           0       65362     37252.5
0         129     329.227     294.608           0       65362     36651.9
0         130     331.208     294.295           0       65362     36938.3
0         131     333.191     293.993           0       65362       37465
0         132     335.175     293.696           0       65362     37900.6
0         133     337.157     293.392           0       65362     38717.7
0         134     339.136     293.061           0       65362     42675.7
0         135     341.109     292.701           0       65362     50876.9
0         136     343.085     292.358           0       65362     52899.3
0         137     345.075     292.107           0       65362     52280.5
0         138     347.077     291.985           0       65362     49601.1
0         139     349.083     291.991           0       65362     46468.6
0         140     351.085     292.102           0       65362     45661.2
0         141     353.082     292.296           0       65362     44066.2
0         142     355.071     292.555           0       65362     43722.1
0         143     357.051      292.87           0       65362     43254.5
0         144     359.021     293.249           0       65362     43129.3
0         145      360.97     293.722           0       65362     44794.3
0         146     362.881     294.332           0       65362     51490.1
0         147     364.737     295.091           0       65362     52879.1
0         148      366.55     295.951           0       65362     47401.5
0         149     368.354     296.827           0       65362     43409.5
0         150     370.192      297.63           0       65362     41414.6
0         151      372.08     298.307           0       65362     39646.6
0         152     374.004     298.874           0       65362       39237
0         153     375.945     299.378           0       65362     40303.7
0         154     377.892     299.859           0       65362     42101.4
0         155      379.84     300.336           0       65362     43406.1
