image	C:/Users/avirm/Documents/Research/Image 5/BB (59).tif
intensity-scaling	0
gaussian-std	2
ridge-threshold	0.005
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	2
minimum-snake-length	6
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1.8
stretch-factor	0.3
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	3
radial-far	7
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0     272.918     346.732           0     50611.5     21188.6
0           1     273.493     344.805           0     45040.9     21642.3
0           2     274.094     342.887           0     40396.4     23202.8
0           3      274.76      340.99           0     37760.8     22687.9
0           4     275.509     339.125           0     38335.5     22703.7
0           5     276.352     337.299           0     39031.4     24338.4
0           6     277.302     335.528           0     40066.5       24158
0           7     278.392     333.838           0     40399.7     24955.8
0           8     279.638     332.261           0     40489.1     23689.9
0           9     281.054     330.834           0     40381.1       20894
0          10     282.644     329.604           0     37115.9     19000.6
0          11     284.397     328.619           0     34781.7     18688.3
0          12     286.286     327.931           0     33595.2     20179.7
0          13      288.26     327.553           0     30325.5     21407.4
0          14     290.266     327.422           0     26973.1     18429.8
0          15     292.276     327.438           0     26128.3     16749.1
0          16     294.285     327.526           0     25595.4     16523.3
0          17     296.292     327.639           0     26463.8     15623.9
0          18       298.3     327.746           0     30966.7     15413.9
0          19     300.308     327.821           0     28998.9     15336.7
0          20     302.319     327.848           0     31150.5     15079.4
0          21     304.329      327.82           0     31357.2     14652.4
0          22     306.338     327.744           0     31111.4     14796.6
0          23     308.345     327.634           0     26799.4     14708.5
0          24     310.351     327.506           0     28214.8     14723.4
0          25     312.357     327.366           0     29824.8     14809.7
0          26     314.362     327.223           0     26853.4     14594.7
0          27     316.368     327.086           0     27365.3     14650.9
0          28     318.375     326.971           0       24738     15249.6
0          29     320.384     326.896           0       23831       15650
0          30     322.394     326.874           0     29294.8     15935.1
0          31     324.404     326.908           0       29476     16359.3
0          32     326.413     327.001           0     27982.3     16059.7
0          33     328.418     327.145           0     28128.2     16382.7
0          34      330.42      327.33           0     27750.8     16082.6
0          35     332.419     327.542           0     28750.6     16004.8
0          36     334.416     327.771           0     27876.3     16765.6
0          37     336.412     328.014           0     27863.2     16284.3
0          38     338.405     328.275           0     23399.5     16732.4
0          39     340.395     328.563           0     22787.8     16451.8
0          40     342.381     328.874           0     24628.2     15526.7
0          41     344.364     329.201           0     22153.7     15677.5
0          42     346.344     329.551           0     20291.8     15495.7
0          43     348.314     329.953           0     21812.5     15538.4
0          44     350.261     330.453           0     23843.3     15538.8
0          45     352.167     331.091           0     25407.8     15354.8
0          46     354.011     331.893           0     28359.6     15539.4
0          47     355.769     332.867           0     30669.4     16930.6
0          48      357.43     334.001           0     30753.5     16365.1
0          49      358.99     335.268           0     26923.5       15849
